,xgb_rank,rf_rank,svm_rank,avg_rank
egfr,4.0,2.0,10.0,5.333333333333333
map2,7.0,10.0,2.0,6.333333333333333
gata3,1.0,1.0,19.0,7.0
e2f3,14.0,9.0,8.0,10.333333333333334
e2f2,21.0,13.0,11.0,15.0
erbb3,11.0,32.0,14.0,19.0
nrip1,8.0,23.0,28.0,19.666666666666668
cdk1,35.0,16.0,18.0,23.0
mmp12,26.0,43.0,3.0,24.0
mmp7,18.0,18.0,37.0,24.333333333333332
kit,28.0,27.0,21.0,25.333333333333332
folr1,12.0,29.0,36.0,25.666666666666668
e2f7,37.0,37.0,7.0,27.0
cdk6,19.0,26.0,44.0,29.666666666666668
acvr1b,39.0,31.0,20.0,30.0
hsd17b4,10.0,19.0,61.0,30.0
ccne1,2.0,3.0,86.0,30.333333333333332
ar,9.0,4.0,81.0,31.333333333333332
bcl2,55.0,6.0,38.0,33.0
lfng,16.0,14.0,71.0,33.666666666666664
rheb,31.0,48.0,26.0,35.0
hsd17b11,22.0,46.0,40.0,36.0
bmpr1b,20.0,36.0,56.0,37.333333333333336
plagl1,53.0,39.0,25.0,39.0
igf1r,32.0,28.0,62.0,40.666666666666664
npnt,3.0,25.0,95.0,41.0
notch1,6.0,5.0,118.0,43.0
tgfb3,5.0,8.0,118.0,43.666666666666664
mmp11,58.0,71.0,5.0,44.666666666666664
cdkn2a,63.0,15.0,58.0,45.333333333333336
eif4ebp1,36.0,54.0,52.0,47.333333333333336
aph1b,13.0,11.0,118.0,47.333333333333336
hsd17b8,25.0,40.0,78.0,47.666666666666664
cdk2,73.0,64.0,6.0,47.666666666666664
e2f4,59.0,49.0,41.0,49.666666666666664
nr2f1,15.0,44.0,91.0,50.0
met,38.0,42.0,73.0,51.0
e2f8,33.0,56.0,65.0,51.333333333333336
ttyh1,118.0,20.0,17.0,51.666666666666664
chek1,17.0,22.0,118.0,52.333333333333336
cdk4,45.0,109.0,4.0,52.666666666666664
srd5a1,24.0,24.0,118.0,55.333333333333336
aurka,118.0,17.0,32.0,55.666666666666664
acvrl1,76.0,78.0,16.0,56.666666666666664
zfp36l1,60.0,102.0,9.0,57.0
dll1,27.0,87.0,60.0,58.0
mapt,54.0,7.0,118.0,59.666666666666664
dtx3,56.0,84.0,39.0,59.666666666666664
hsd17b2,72.0,34.0,75.0,60.333333333333336
ahnak2,44.0,77.0,63.0,61.333333333333336
slc19a1,43.0,55.0,87.0,61.666666666666664
mlst8,78.0,108.0,1.0,62.333333333333336
setd1a,42.0,98.0,51.0,63.666666666666664
mtap,118.0,53.0,22.0,64.33333333333333
ackr3,89.0,92.0,12.0,64.33333333333333
nras,71.0,33.0,90.0,64.66666666666667
mmp28,96.0,75.0,30.0,67.0
spry2,34.0,50.0,118.0,67.33333333333333
itgav,61.0,119.0,23.0,67.66666666666667
fancd2,118.0,21.0,64.0,67.66666666666667
msh6,50.0,35.0,118.0,67.66666666666667
hsd3b7,87.0,105.0,13.0,68.33333333333333
fgf1,51.0,125.0,31.0,69.0
pten,75.0,74.0,59.0,69.33333333333333
ccnb1,118.0,41.0,49.0,69.33333333333333
tp53bp1,67.0,59.0,84.0,70.0
bard1,47.0,82.0,83.0,70.66666666666667
ahnak,118.0,38.0,57.0,71.0
adgra2,29.0,66.0,118.0,71.0
src,118.0,68.0,29.0,71.66666666666667
mecom,88.0,101.0,27.0,72.0
chek2,30.0,69.0,118.0,72.33333333333333
ccnd2,68.0,126.0,24.0,72.66666666666667
acvr2a,95.0,61.0,68.0,74.66666666666667
pik3r1,90.0,45.0,89.0,74.66666666666667
tbx3,118.0,57.0,55.0,76.66666666666667
col12a1,49.0,114.0,69.0,77.33333333333333
mmp1,46.0,70.0,118.0,78.0
jak2,65.0,136.0,34.0,78.33333333333333
rbl1,118.0,51.0,67.0,78.66666666666667
cxcl8,94.0,62.0,82.0,79.33333333333333
hes6,40.0,81.0,118.0,79.66666666666667
rps6kb2,70.0,97.0,72.0,79.66666666666667
mmp2,118.0,79.0,45.0,80.66666666666667
cdkn2b,52.0,113.0,79.0,81.33333333333333
age_at_diagnosis,93.0,117.0,35.0,81.66666666666667
col6a3,118.0,83.0,46.0,82.33333333333333
cdc25a,118.0,12.0,118.0,82.66666666666667
smarcc2,91.0,111.0,47.0,83.0
igf1,118.0,90.0,42.0,83.33333333333333
lymph_nodes_examined_positive,118.0,85.0,48.0,83.66666666666667
tsc2,118.0,120.0,15.0,84.33333333333333
mmp3,64.0,112.0,80.0,85.33333333333333
ptprd,62.0,123.0,74.0,86.33333333333333
rad51,118.0,47.0,94.0,86.33333333333333
fas,118.0,89.0,54.0,87.0
acvr1,118.0,91.0,53.0,87.33333333333333
tgfbr2,77.0,67.0,118.0,87.33333333333333
fn1,118.0,60.0,85.0,87.66666666666667
rps6ka2,82.0,63.0,118.0,87.66666666666667
hsd17b6,74.0,72.0,118.0,88.0
lama2,118.0,30.0,118.0,88.66666666666667
csf1r,41.0,107.0,118.0,88.66666666666667
folr2,48.0,100.0,118.0,88.66666666666667
cbfb,118.0,58.0,92.0,89.33333333333333
pdgfra,84.0,115.0,70.0,89.66666666666667
cdkn2c,79.0,94.0,98.0,90.33333333333333
heyl,23.0,133.0,118.0,91.33333333333333
nt5e,118.0,118.0,43.0,93.0
ptprm,118.0,129.0,33.0,93.33333333333333
arid5b,118.0,86.0,77.0,93.66666666666667
mmp9,118.0,76.0,88.0,94.0
mapk3,92.0,73.0,118.0,94.33333333333333
klrg1,69.0,124.0,93.0,95.33333333333333
ccnd1,118.0,52.0,118.0,96.0
palld,118.0,121.0,50.0,96.33333333333333
nottingham_prognostic_index,66.0,110.0,118.0,98.0
mapk1,80.0,99.0,118.0,99.0
tubb4b,118.0,104.0,76.0,99.33333333333333
abcb1,118.0,65.0,118.0,100.33333333333333
map2k4,97.0,88.0,118.0,101.0
pdgfrb,81.0,106.0,118.0,101.66666666666667
bmpr2,85.0,103.0,118.0,102.0
ptpn22,57.0,137.0,118.0,104.0
prkd1,118.0,130.0,66.0,104.66666666666667
dab2,118.0,80.0,118.0,105.33333333333333
smad3,86.0,116.0,118.0,106.66666666666667
e2f5,118.0,93.0,118.0,109.66666666666667
sgcd,118.0,95.0,118.0,110.33333333333333
mmp13,83.0,131.0,118.0,110.66666666666667
foxo1,118.0,96.0,118.0,110.66666666666667
tumor_size,98.0,127.0,118.0,114.33333333333333
twist1,118.0,132.0,97.0,115.66666666666667
tumor_stage,118.0,134.0,96.0,116.0
nr3c1,118.0,122.0,118.0,119.33333333333333
syne1,118.0,128.0,118.0,121.33333333333333
kmt2c,118.0,135.0,118.0,123.66666666666667
